Time,StepDist,GPS_X,GPS_Y,Odo_X,Odo_Y,Est_X,Est_Y,rk2_Est_X,rk2_Est_Y,Theta
3.312,0.00186673,-0.257377,-0.718975,-0.638721,-0.368441,-0.330008,-0.67196,-0.330011,-0.671957,0.837451
3.328,0.00186673,-0.333178,-0.710678,-0.637466,-0.367059,-0.328842,-0.67138,-0.328845,-0.671378,0.833308
3.344,0.0019311,-0.311196,-0.716979,-0.636159,-0.365637,-0.327208,-0.670899,-0.327212,-0.670895,0.827647
3.36,0.00186673,-0.321042,-0.731601,-0.634888,-0.36427,-0.32584,-0.670773,-0.325843,-0.670769,0.821982
3.376,0.0019311,-0.294221,-0.658879,-0.633568,-0.362861,-0.323913,-0.669154,-0.323916,-0.669151,0.817827
3.392,0.0019311,-0.21266,-0.716935,-0.632241,-0.361457,-0.320388,-0.668734,-0.320391,-0.668732,0.813662
3.408,0.00186673,-0.281057,-0.635702,-0.630954,-0.360106,-0.31834,-0.666749,-0.318342,-0.666747,0.809497
3.424,0.00186673,-0.302503,-0.754843,-0.62966,-0.35876,-0.316755,-0.667192,-0.316758,-0.667189,0.80533
3.44,0.0019311,-0.271842,-0.74383,-0.628314,-0.357375,-0.314538,-0.667368,-0.314542,-0.667364,0.799656
3.456,0.0019311,-0.334732,-0.680592,-0.626963,-0.355996,-0.313617,-0.66628,-0.31362,-0.666278,0.79549
